steps: 30, adversary: B_lineAgent, mean: -4.4346, standard deviation 2.402310124428968
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.214.176/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.214.187'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.214.187'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Analyse User2', 'DiscoverNetworkServices 10.0.120.158'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.214.187'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.120.158'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.120.144/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.120.155'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.155'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.120.158'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.120.144/28'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.120.155')], total reward: -6.799999999999999
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.76.128/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.76.131'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.76.131'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Analyse User2', 'DiscoverNetworkServices 10.0.138.7'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.138.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.76.131'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.138.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.138.7'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.138.0/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.138.9'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.138.9'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise2'), ('Restore Enterprise2', 'DiscoverNetworkServices 10.0.83.226'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.76.131'), ('Analyse User2', 'ExploitRemoteService 10.0.76.131'), ('Analyse User2', 'PrivilegeEscalate User1'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.138.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.138.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.76.131'), ('Analyse User2', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.138.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.138.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.76.131'), ('Analyse User2', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.138.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.138.7'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -7.799999999999995
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.19.128/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.19.133'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.19.133'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Analyse User2', 'DiscoverNetworkServices 10.0.62.54'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.19.133'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.19.133'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.19.133'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.19.133'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.19.133'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.19.133'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.62.54'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.62.54')], total reward: -2.800000000000001
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.210.80/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.210.92'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.210.92'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Analyse User2', 'DiscoverNetworkServices 10.0.107.173'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.107.173'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.107.160/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.107.165'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.165'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.173'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.210.92'), ('Analyse User2', 'PrivilegeEscalate User1'), ('Analyse User2', 'DiscoverNetworkServices 10.0.107.173'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.173'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.210.92'), ('Analyse User2', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.107.173'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.173'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.210.92'), ('Analyse User2', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.107.173'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.173'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.210.92'), ('Analyse User2', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.107.173'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.173'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.210.92'), ('Analyse User2', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.107.173')], total reward: -4.799999999999998
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.212.64/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.212.75'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.212.75'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'ExploitRemoteService 10.0.212.75'), ('Analyse User2', 'PrivilegeEscalate User2'), ('Analyse User2', 'DiscoverNetworkServices 10.0.50.165'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.50.165'), ('DecoyFemitter Enterprise2', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.50.160/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.50.172'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.50.172'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise2'), ('Restore Enterprise2', 'DiscoverNetworkServices 10.0.88.92')], total reward: -7.0
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.61.112/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.61.125'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.61.125'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Analyse User2', 'DiscoverNetworkServices 10.0.233.104'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.233.104'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.61.125'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.233.104'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.233.104'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.61.125'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.233.104'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.233.104'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.61.125'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.233.104'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.233.104'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.61.125'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.233.104'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.233.104'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.233.96/28'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.233.97'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.233.97'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.233.104'), ('DecoyFemitter Enterprise1', 'ExploitRemoteService 10.0.61.125'), ('Analyse User2', 'PrivilegeEscalate User1'), ('Analyse User2', 'DiscoverNetworkServices 10.0.233.104')], total reward: -4.699999999999999
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.172.240/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.172.242'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.172.242'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Analyse User2', 'DiscoverNetworkServices 10.0.64.7'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.172.242'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.172.242'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.172.242'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.172.242'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.172.242'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.172.242'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.64.7'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.64.7')], total reward: -2.800000000000001
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.252.112/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.252.125'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.252.125'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User3'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.15.58'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.252.125'), ('Analyse User1', 'PrivilegeEscalate User3'), ('Remove User4', 'DiscoverNetworkServices 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.252.125'), ('Analyse User1', 'PrivilegeEscalate User3'), ('Remove User4', 'DiscoverNetworkServices 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.252.125'), ('Analyse User1', 'PrivilegeEscalate User3'), ('Remove User4', 'DiscoverNetworkServices 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.252.125'), ('Analyse User1', 'PrivilegeEscalate User3'), ('Remove User4', 'DiscoverNetworkServices 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.252.125'), ('Analyse User1', 'PrivilegeEscalate User3'), ('Remove User4', 'DiscoverNetworkServices 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.252.125'), ('Analyse User1', 'PrivilegeEscalate User3'), ('Remove User4', 'DiscoverNetworkServices 10.0.15.58'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.15.58')], total reward: -2.800000000000001
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.159.80/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.159.92'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.159.92'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.112.244'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.112.244'), ('DecoyVsftpd User3', 'ExploitRemoteService 10.0.159.92'), ('Analyse User1', 'PrivilegeEscalate User4'), ('DecoySSHD User3', 'DiscoverNetworkServices 10.0.112.244'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.112.244'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.159.92'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User4'), ('Remove User4', 'DiscoverNetworkServices 10.0.112.244'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.112.244'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.159.92'), ('Analyse User1', 'PrivilegeEscalate User4'), ('Analyse User2', 'DiscoverNetworkServices 10.0.112.244'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.112.244'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.159.92'), ('Analyse User1', 'PrivilegeEscalate User4'), ('Analyse User2', 'DiscoverNetworkServices 10.0.112.244'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.112.244'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.159.92'), ('Analyse User1', 'PrivilegeEscalate User4'), ('Analyse User2', 'DiscoverNetworkServices 10.0.112.244'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.112.244'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.159.92'), ('Remove User4', 'PrivilegeEscalate User4'), ('Remove User4', 'DiscoverNetworkServices 10.0.112.244'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.112.244')], total reward: -2.700000000000001
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.69.208/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.69.213'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.69.213'), ('DecoyTomcat Enterprise0', 'PrivilegeEscalate User4'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.107.197'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.107.197'), ('DecoyVsftpd User3', 'ExploitRemoteService 10.0.69.213'), ('Analyse User1', 'PrivilegeEscalate User4'), ('DecoySSHD User3', 'DiscoverNetworkServices 10.0.107.197'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.197'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.69.213'), ('Analyse User1', 'PrivilegeEscalate User4'), ('Analyse User2', 'DiscoverNetworkServices 10.0.107.197'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.197'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.69.213'), ('Analyse User1', 'PrivilegeEscalate User4'), ('Analyse User2', 'DiscoverNetworkServices 10.0.107.197'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.197'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.69.213'), ('Analyse User1', 'PrivilegeEscalate User4'), ('Analyse User2', 'DiscoverNetworkServices 10.0.107.197'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.197'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.69.213'), ('Analyse User1', 'PrivilegeEscalate User4'), ('Analyse User2', 'DiscoverNetworkServices 10.0.107.197'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.197'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.69.213'), ('Analyse User1', 'PrivilegeEscalate User4'), ('Analyse User2', 'DiscoverNetworkServices 10.0.107.197'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.107.197')], total reward: -2.800000000000001
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.103.160/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.103.172'), ('DecoyHarakaSMPT Enterprise0', 'ExploitRemoteService 10.0.103.172'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate User1'), ('Analyse User2', 'DiscoverNetworkServices 10.0.84.20'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.103.172'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.103.172'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.103.172'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.103.172'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.103.172'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.103.172'), ('Analyse Enterprise1', 'PrivilegeEscalate User1'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.84.20'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.84.20')], total reward: -2.800000000000001
