steps: 30, adversary: RedMeanderAgent, mean: -5.6366, standard deviation 1.3188023656635133
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.191.192/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.191.199'), ('DecoyHarakaSMPT Enterprise0', 'DiscoverNetworkServices 10.0.191.202'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.191.194'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.191.204'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.191.193'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.191.193'), ('Remove Enterprise1', 'PrivilegeEscalate User3'), ('Analyse User4', 'DiscoverNetworkServices 10.0.241.157'), ('Restore User3', 'ExploitRemoteService 10.0.191.199'), ('Analyse User1', 'ExploitRemoteService 10.0.191.202'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.241.154'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.191.194'), ('Analyse User1', 'ExploitRemoteService 10.0.191.204'), ('Analyse User4', 'PrivilegeEscalate User4'), ('Restore User4', 'ExploitRemoteService 10.0.241.157'), ('Analyse User1', 'ExploitRemoteService 10.0.191.194'), ('Analyse User1', 'ExploitRemoteService 10.0.191.194'), ('Analyse User1', 'ExploitRemoteService 10.0.241.154'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.191.194'), ('Analyse User1', 'ExploitRemoteService 10.0.241.154'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.191.194'), ('Restore User2', 'PrivilegeEscalate User2'), ('Analyse User1', 'ExploitRemoteService 10.0.191.194'), ('Analyse User1', 'ExploitRemoteService 10.0.241.154'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.241.157'), ('Analyse User1', 'ExploitRemoteService 10.0.241.154'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -5.800000000000001
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.160.128/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.160.130'), ('DecoyHarakaSMPT Enterprise0', 'DiscoverNetworkServices 10.0.160.138'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.160.140'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.160.141'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.160.132'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.160.141'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.102.254'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.160.138'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.160.132'), ('Remove Enterprise1', 'PrivilegeEscalate User4'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.102.247'), ('Restore User4', 'ExploitRemoteService 10.0.102.247'), ('Analyse User4', 'ExploitRemoteService 10.0.160.140'), ('Analyse Enterprise1', 'PrivilegeEscalate User3'), ('Restore User3', 'ExploitRemoteService 10.0.160.130'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.160.130'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.160.130'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.160.130'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.102.247'), ('Analyse User4', 'ExploitRemoteService 10.0.160.130'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.160.130'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.160.130'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.160.130'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.160.130'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.160.130'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.102.254'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.160.130')], total reward: -4.699999999999998
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.174.80/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.174.92'), ('DecoyHarakaSMPT Enterprise0', 'DiscoverNetworkServices 10.0.174.85'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.174.81'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.174.90'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.174.86'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.174.90'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.174.92'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.174.92'), ('Remove Enterprise1', 'PrivilegeEscalate User2'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.227.146'), ('Restore User2', 'ExploitRemoteService 10.0.174.86'), ('Analyse User4', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.227.152'), ('Analyse User1', 'ExploitRemoteService 10.0.227.146'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.174.81'), ('Analyse Enterprise1', 'PrivilegeEscalate User3'), ('Restore User3', 'ExploitRemoteService 10.0.227.146'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.227.146'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.227.146'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.227.146'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.227.146'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User1', 'ExploitRemoteService 10.0.227.146'), ('Analyse User1', 'ExploitRemoteService 10.0.227.152'), ('Analyse User1', 'ExploitRemoteService 10.0.227.146'), ('Analyse User1', 'ExploitRemoteService 10.0.227.146'), ('Analyse User1', 'ExploitRemoteService 10.0.227.146'), ('Analyse User1', 'ExploitRemoteService 10.0.174.85')], total reward: -5.7
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.57.16/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.57.20'), ('DecoyHarakaSMPT Enterprise0', 'DiscoverNetworkServices 10.0.57.19'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.57.21'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.57.26'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.57.22'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.57.21'), ('Remove Enterprise1', 'PrivilegeEscalate User4'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.116.70'), ('Restore User4', 'ExploitRemoteService 10.0.57.20'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.116.70'), ('Analyse User1', 'ExploitRemoteService 10.0.116.70'), ('Analyse User1', 'ExploitRemoteService 10.0.57.26'), ('Analyse User1', 'ExploitRemoteService 10.0.57.20'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.57.20'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.57.19'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.116.67'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.57.22'), ('Analyse Enterprise1', 'PrivilegeEscalate User3'), ('Restore User3', 'ExploitRemoteService 10.0.57.20'), ('Analyse User1', 'ExploitRemoteService 10.0.116.70'), ('Analyse User1', 'ExploitRemoteService 10.0.57.20'), ('Restore User2', 'PrivilegeEscalate User2'), ('Analyse User1', 'ExploitRemoteService 10.0.116.67'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User1', 'ExploitRemoteService 10.0.116.67'), ('Analyse User1', 'ExploitRemoteService 10.0.116.67'), ('Analyse User1', 'ExploitRemoteService 10.0.116.67')], total reward: -5.800000000000001
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.227.192/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.227.205'), ('DecoyHarakaSMPT Enterprise0', 'DiscoverNetworkServices 10.0.227.193'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.227.198'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.227.203'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.227.204'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.227.204'), ('Remove Enterprise1', 'PrivilegeEscalate User4'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.10.93'), ('Restore User4', 'ExploitRemoteService 10.0.227.198'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.227.193'), ('Remove Enterprise1', 'PrivilegeEscalate User3'), ('Restore User3', 'ExploitRemoteService 10.0.10.93'), ('Analyse User1', 'ExploitRemoteService 10.0.227.203'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.10.94'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.227.205'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.227.205'), ('DecoyVsftpd User4', 'PrivilegeEscalate User2'), ('Restore User2', 'ExploitRemoteService 10.0.10.94'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.10.93'), ('Analyse User4', 'ExploitRemoteService 10.0.10.93'), ('Analyse User4', 'ExploitRemoteService 10.0.10.93'), ('Analyse User4', 'ExploitRemoteService 10.0.10.93'), ('Analyse User4', 'ExploitRemoteService 10.0.10.94'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.10.93'), ('Analyse User4', 'ExploitRemoteService 10.0.10.93'), ('Analyse User4', 'ExploitRemoteService 10.0.10.93'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0')], total reward: -5.9
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.203.208/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.203.214'), ('DecoyHarakaSMPT Enterprise0', 'DiscoverNetworkServices 10.0.203.220'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.203.209'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.203.216'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.203.217'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.203.217'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.174.24'), ('Restore User1', 'ExploitRemoteService 10.0.203.209'), ('Analyse User1', 'ExploitRemoteService 10.0.203.220'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.174.24'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.203.216'), ('Analyse User4', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.174.27'), ('Analyse User1', 'ExploitRemoteService 10.0.174.24'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.203.220'), ('Analyse User1', 'ExploitRemoteService 10.0.203.214'), ('Analyse Enterprise2', 'PrivilegeEscalate User3'), ('Restore User3', 'ExploitRemoteService 10.0.174.24'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.203.220'), ('Analyse User1', 'ExploitRemoteService 10.0.174.24'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.174.27'), ('Analyse User1', 'ExploitRemoteService 10.0.203.220'), ('Analyse User1', 'ExploitRemoteService 10.0.203.220'), ('Analyse User1', 'ExploitRemoteService 10.0.174.24'), ('Analyse Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.174.16/28'), ('Analyse User1', 'DiscoverNetworkServices 10.0.174.30')], total reward: -5.7
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.232.192/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.232.197'), ('DecoyHarakaSMPT Enterprise0', 'DiscoverNetworkServices 10.0.232.201'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.232.203'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.232.199'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.232.198'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.232.199'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.232.201'), ('Remove Enterprise1', 'PrivilegeEscalate User3'), ('Analyse User4', 'DiscoverNetworkServices 10.0.125.162'), ('Restore User3', 'ExploitRemoteService 10.0.125.162'), ('Analyse User1', 'ExploitRemoteService 10.0.232.203'), ('Analyse User1', 'ExploitRemoteService 10.0.232.198'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.125.167'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.232.199'), ('Analyse User1', 'ExploitRemoteService 10.0.232.199'), ('Analyse User1', 'ExploitRemoteService 10.0.125.162'), ('Analyse User1', 'ExploitRemoteService 10.0.232.197'), ('Analyse User4', 'PrivilegeEscalate User4'), ('Restore User4', 'ExploitRemoteService 10.0.125.162'), ('Analyse User1', 'ExploitRemoteService 10.0.232.199'), ('Analyse User1', 'ExploitRemoteService 10.0.125.162'), ('Analyse User1', 'ExploitRemoteService 10.0.232.199'), ('Analyse User1', 'ExploitRemoteService 10.0.125.162'), ('Analyse User1', 'ExploitRemoteService 10.0.125.162'), ('Analyse User1', 'ExploitRemoteService 10.0.125.162'), ('Analyse User1', 'ExploitRemoteService 10.0.232.199'), ('Analyse User1', 'ExploitRemoteService 10.0.125.167')], total reward: -3.7
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.22.64/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.22.73'), ('DecoyHarakaSMPT Enterprise0', 'DiscoverNetworkServices 10.0.22.77'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.22.67'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.22.70'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.22.71'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.22.67'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.22.70'), ('Remove Enterprise1', 'PrivilegeEscalate User3'), ('Analyse User4', 'DiscoverNetworkServices 10.0.87.182'), ('Restore User3', 'ExploitRemoteService 10.0.22.73'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.87.183'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.87.182'), ('Analyse User4', 'ExploitRemoteService 10.0.22.77'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.22.77'), ('DecoyVsftpd User4', 'PrivilegeEscalate User2'), ('Restore User2', 'ExploitRemoteService 10.0.22.71'), ('Analyse User4', 'PrivilegeEscalate User4'), ('Restore User4', 'ExploitRemoteService 10.0.87.183'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.87.182'), ('Analyse User4', 'ExploitRemoteService 10.0.87.182'), ('Analyse User4', 'ExploitRemoteService 10.0.87.183'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.87.183'), ('Analyse User1', 'ExploitRemoteService 10.0.87.182'), ('Analyse User4', 'ExploitRemoteService 10.0.87.182'), ('Analyse User4', 'ExploitRemoteService 10.0.87.183'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User1', 'ExploitRemoteService 10.0.87.182')], total reward: -5.800000000000001
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.155.208/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.155.211'), ('DecoyHarakaSMPT Enterprise0', 'DiscoverNetworkServices 10.0.155.210'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.155.219'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.155.218'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.155.221'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.155.218'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.155.210'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.155.218'), ('Remove Enterprise1', 'PrivilegeEscalate User2'), ('Remove Enterprise1', 'DiscoverNetworkServices 10.0.199.109'), ('Restore User2', 'ExploitRemoteService 10.0.155.219'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'ExploitRemoteService 10.0.155.211'), ('Analyse User4', 'PrivilegeEscalate User4'), ('Restore User4', 'DiscoverNetworkServices 10.0.199.107'), ('Analyse User1', 'ExploitRemoteService 10.0.199.109'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User1', 'ExploitRemoteService 10.0.199.107'), ('Analyse User1', 'ExploitRemoteService 10.0.199.109'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User1', 'ExploitRemoteService 10.0.199.109'), ('Analyse User1', 'ExploitRemoteService 10.0.199.107'), ('Analyse User1', 'ExploitRemoteService 10.0.199.107'), ('Analyse User1', 'ExploitRemoteService 10.0.199.107'), ('Analyse User1', 'ExploitRemoteService 10.0.199.107'), ('Analyse User1', 'ExploitRemoteService 10.0.199.107'), ('Analyse User1', 'ExploitRemoteService 10.0.199.109'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -7.5
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.121.64/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.121.66'), ('DecoyHarakaSMPT Enterprise0', 'DiscoverNetworkServices 10.0.121.72'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.121.69'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.121.76'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.121.74'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.121.66'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.121.74'), ('Remove Enterprise1', 'PrivilegeEscalate User4'), ('Analyse Enterprise1', 'DiscoverNetworkServices 10.0.36.65'), ('Restore User4', 'ExploitRemoteService 10.0.36.65'), ('Analyse User1', 'ExploitRemoteService 10.0.121.69'), ('Analyse User1', 'ExploitRemoteService 10.0.121.76'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.36.73'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.121.66'), ('Restore User2', 'PrivilegeEscalate User2'), ('Analyse User1', 'ExploitRemoteService 10.0.36.65'), ('Analyse User1', 'ExploitRemoteService 10.0.121.72'), ('Analyse Enterprise1', 'PrivilegeEscalate User3'), ('Restore User3', 'ExploitRemoteService 10.0.121.66'), ('Analyse User1', 'ExploitRemoteService 10.0.36.73'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.36.73'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.36.65'), ('Restore Enterprise0', 'PrivilegeEscalate Enterprise0'), ('Analyse User1', 'ExploitRemoteService 10.0.36.65'), ('Analyse User1', 'ExploitRemoteService 10.0.121.66'), ('Analyse User1', 'ExploitRemoteService 10.0.36.73'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.36.65')], total reward: -5.6000000000000005
actions: [('DecoyFemitter User2', 'DiscoverRemoteSystems 10.0.186.48/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.186.50'), ('DecoyHarakaSMPT Enterprise0', 'DiscoverNetworkServices 10.0.186.62'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.186.49'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.186.59'), ('DecoyVsftpd Enterprise0', 'DiscoverNetworkServices 10.0.186.53'), ('DecoyApache Enterprise0', 'PrivilegeEscalate User0'), ('DecoyFemitter Enterprise2', 'ExploitRemoteService 10.0.186.59'), ('Remove Enterprise1', 'PrivilegeEscalate User3'), ('Analyse User4', 'DiscoverNetworkServices 10.0.154.90'), ('Restore User3', 'ExploitRemoteService 10.0.186.49'), ('Remove Enterprise1', 'PrivilegeEscalate User1'), ('Restore User1', 'DiscoverNetworkServices 10.0.154.87'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.186.62'), ('Remove Enterprise1', 'ExploitRemoteService 10.0.154.90'), ('Analyse User4', 'ExploitRemoteService 10.0.186.53'), ('Analyse User4', 'ExploitRemoteService 10.0.186.62'), ('Restore User2', 'PrivilegeEscalate User2'), ('Analyse User1', 'ExploitRemoteService 10.0.186.62'), ('Analyse User1', 'ExploitRemoteService 10.0.154.87'), ('Analyse Enterprise1', 'ExploitRemoteService 10.0.154.87'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse User1', 'ExploitRemoteService 10.0.154.90'), ('Analyse User1', 'ExploitRemoteService 10.0.154.90'), ('Analyse User1', 'ExploitRemoteService 10.0.186.62'), ('Restore User2', 'PrivilegeEscalate User2'), ('Analyse User1', 'ExploitRemoteService 10.0.186.50'), ('Analyse User4', 'PrivilegeEscalate User4'), ('Restore User4', 'ExploitRemoteService 10.0.154.87'), ('Analyse User1', 'ExploitRemoteService 10.0.154.87')], total reward: -6.699999999999999
